Unnamed: 0;Provincia;Edad;Ambos_sexos;Hombres;Mujeres
546;Huesca;3;1771;0;0
547;Huesca;3;0;911;0
548;Huesca;3;0;0;860
549;Jaen;3;5555;0;0
550;Jaen;3;0;2796;0
551;Jaen;3;0;0;2758
552;Leon;3;3064;0;0
553;Leon;3;0;1609;0
554;Leon;3;0;0;1455
555;Lleida;3;4190;0;0
556;Lleida;3;0;2158;0
557;Lleida;3;0;0;2032
558;Lugo;3;2157;0;0
559;Lugo;3;0;1104;0
560;Lugo;3;0;0;1052
561;Madrid;3;66185;0;0
562;Madrid;3;0;34141;0
563;Madrid;3;0;0;32044
564;Malaga;3;16009;0;0
565;Malaga;3;0;8185;0
566;Malaga;3;0;0;7824
567;Murcia;3;16410;0;0
568;Murcia;3;0;8531;0
569;Murcia;3;0;0;7878
570;Navarra;3;6352;0;0
571;Navarra;3;0;3216;0
572;Navarra;3;0;0;3135
573;Ourense;3;1886;0;0
574;Ourense;3;0;1005;0
575;Ourense;3;0;0;880
576;Palencia;3;1204;0;0
577;Palencia;3;0;609;0
578;Palencia;3;0;0;594
579;Palmas;3;8946;0;0
580;Palmas;3;0;4619;0
581;Palmas;3;0;0;4327
582;Pontevedra;3;7500;0;0
583;Pontevedra;3;0;3915;0
584;Pontevedra;3;0;0;3585
585;Rioja;3;2883;0;0
586;Rioja;3;0;1444;0
587;Rioja;3;0;0;1439
588;Salamanca;3;2356;0;0
589;Salamanca;3;0;1248;0
590;Salamanca;3;0;0;1108
591;Santa_Cruz_de_Tenerife;3;8036;0;0
592;Santa_Cruz_de_Tenerife;3;0;4132;0
593;Santa_Cruz_de_Tenerife;3;0;0;3904
594;Segovia;3;1289;0;0
595;Segovia;3;0;696;0
596;Segovia;3;0;0;593
597;Sevilla;3;20246;0;0
598;Sevilla;3;0;10417;0
599;Sevilla;3;0;0;9829
600;Soria;3;643;0;0
601;Soria;3;0;334;0
602;Soria;3;0;0;309
603;Tarragona;3;7798;0;0
604;Tarragona;3;0;4019;0
605;Tarragona;3;0;0;3779
606;Teruel;3;1124;0;0
607;Teruel;3;0;576;0
608;Teruel;3;0;0;548
609;Toledo;3;6738;0;0
610;Toledo;3;0;3458;0
611;Toledo;3;0;0;3280
612;Valencia;3;23385;0;0
613;Valencia;3;0;12102;0
614;Valencia;3;0;0;11283
615;Valladolid;3;4336;0;0
616;Valladolid;3;0;2250;0
617;Valladolid;3;0;0;2087
618;Zamora;3;1033;0;0
619;Zamora;3;0;544;0
620;Zamora;3;0;0;488
621;Zaragoza;3;8889;0;0
622;Zaragoza;3;0;4640;0
623;Zaragoza;3;0;0;4249
624;Ceuta;3;1149;0;0
625;Ceuta;3;0;573;0
626;Ceuta;3;0;0;575
627;Melilla;3;1614;0;0
628;Melilla;3;0;858;0
629;Melilla;3;0;0;756
630;Albacete;4;3583;0;0
631;Albacete;4;0;1893;0
632;Albacete;4;0;0;1690
633;Alicante;4;16463;0;0
634;Alicante;4;0;8557;0
635;Alicante;4;0;0;7906
636;Almeria;4;7871;0;0
637;Almeria;4;0;4099;0
638;Almeria;4;0;0;3772
639;Alava;4;3180;0;0
640;Alava;4;0;1681;0
641;Alava;4;0;0;1499
642;Asturias;4;6782;0;0
643;Asturias;4;0;3490;0
